Year,Grande Sector ID,Grande Sector,Section ID,Section,Division ID,Division,Number workers
2017,4,Serviços,N,Atividades Administrativas E Serviços Complementares,N79,"Agências De Viagens, Operadores Turísticos E Serviços De Reservas",0
2017,4,Serviços,N,Atividades Administrativas E Serviços Complementares,N80,"Atividades De Vigilância, Segurança E Investigação",2
2017,4,Serviços,N,Atividades Administrativas E Serviços Complementares,N81,Serviços Para Edifícios E Atividades Paisagísticas,104
2017,4,Serviços,N,Atividades Administrativas E Serviços Complementares,N82,"Serviços De Escritório, De Apoio Administrativo E Outros Serviços Prestados Principalmente Às Empresas",79
2017,4,Serviços,P,Educação,P85,Educação,298
2017,4,Serviços,Q,Saúde Humana E Serviços Sociais,Q86,Atividades De Atenção À Saúde Humana,39
2017,4,Serviços,Q,Saúde Humana E Serviços Sociais,Q87,"Atividades De Atenção À Saúde Humana Integradas Com Assistência Social, Prestadas Em Residências Coletivas E Particulares",23
2017,4,Serviços,Q,Saúde Humana E Serviços Sociais,Q88,Serviços De Assistência Social Sem Alojamento,0
2017,4,Serviços,R,"Artes, Cultura, Esporte E Recreação",R90,"Atividades Artísticas, Criativas E De Espetáculos",0
2017,4,Serviços,R,"Artes, Cultura, Esporte E Recreação",R93,Atividades Esportivas E De Recreação E Lazer,118
2017,4,Serviços,S,Outras Atividades De Serviços,S94,Atividades De Organizações Associativas,87
2017,4,Serviços,S,Outras Atividades De Serviços,S95,Reparação E Manutenção De Equipamentos De Informática E Comunicação E De Objetos Pessoais E Domésticos,4
2017,4,Serviços,S,Outras Atividades De Serviços,S96,Outras Atividades De Serviços Pessoais,42
2017,5,Administração pública,O,"Administração Pública, Defesa E Seguridade Social",O84,"Administração Pública, Defesa E Seguridade Social",1520
2018,1,Agricultura,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",A01,"Agricultura, Pecuária E Serviços Relacionados",177
2018,1,Agricultura,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",A02,Produção Florestal,7
2018,2,Indústria,B,Indústrias Extrativas,B08,Extração De Minerais Não Metálicos,16
2018,2,Indústria,B,Indústrias Extrativas,B09,Atividades De Apoio À Extração De Minerais,5
2018,2,Indústria,C,Indústrias De Transformação,C10,Fabricação De Produtos Alimentícios,427
